,CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus,Subject,Prerequisites,Score
0,15115,,CSC 101-01,Intro to Computer Concepts,3,LEC,Jeffrey N. Whitworth,08-JAN-2018 to 25-APR-2018,M,1700-1815,PETT 217,.SI,0,25,25,M,computer science,,1
1,16542,8,CSC 110-01,Computational Problem Solving,3,LEC,Lance M. Everhart,08-JAN-2018 to 25-APR-2018,T R,1400-1515,PETT 217,.GMT,15,28,13,M,computer science,,0
2,15051,3,CSC 130-01,Intro to Computer Science,3,LEL,Mark V. Armstrong,08-JAN-2018 to 25-APR-2018,M,1000-1150,PETT 136,none,1,38,37,M,computer science,['MAT150'],2
3,15053,3,CSC 130-02,Intro to Computer Science,3,LEL,Mark V. Armstrong,08-JAN-2018 to 25-APR-2018,M,1000-1150,PETT 136,none,6,38,32,M,computer science,['MAT150'],2
4,15055,3,CSC 130-03,Intro to Computer Science,3,LEL,Mark V. Armstrong,08-JAN-2018 to 25-APR-2018,M,1000-1150,PETT 136,none,5,38,33,M,computer science,['MAT150'],2
5,15056,3,CSC 230-01,Elem Data Struc / Algorithms,3,LEC,Chandana Ariyawansa,08-JAN-2018 to 25-APR-2018,M W,1400-1515,PETT 227,none,3,35,32,M,computer science,['CSC130'],2
6,15057,3,CSC 230-02,Elem Data Struc / Algorithms,3,LEC,Chandana Ariyawansa,08-JAN-2018 to 25-APR-2018,T R,1230-1345,PETT 224,none,2,35,33,M,computer science,['CSC130'],2
7,15058,3,CSC 230-03,Elem Data Struc / Algorithms,3,LEC,Chandana Ariyawansa,08-JAN-2018 to 25-APR-2018,T R,1530-1645,PETT 223,none,20,35,15,M,computer science,['CSC130'],2
8,15061,3,CSC 250-01,Foundations of Comp Science I,3,LEC,Lance M. Everhart,08-JAN-2018 to 25-APR-2018,M W,1530-1645,PETT 150,none,0,35,35,M,computer science,['CSC130'],2
9,15070,3,CSC 250-02,Foundations of Comp Science I,3,LEC,Lance M. Everhart,08-JAN-2018 to 25-APR-2018,M W,1730-1845,PETT 150,none,22,35,13,M,computer science,['CSC130'],2
10,15071,3,CSC 250-03,Foundations of Comp Science I,3,LEC,Lance M. Everhart,08-JAN-2018 to 25-APR-2018,T R,1100-1215,PETT 223,none,-1,28,29,M,computer science,['CSC130'],2
11,15074,3,CSC 261-01,Computr Org / Assembly Languag,3,LEC,Mark V. Armstrong,08-JAN-2018 to 25-APR-2018,T R,1400-1515,PETT 223,none,3,40,37,M,computer science,"['CSC250', 'CSC230']",2
12,10449,3,CSC 330-01,Advanced Data Structures,3,LEC,Prashanti Manda,08-JAN-2018 to 25-APR-2018,M W,1400-1515,PETT 223,none,5,35,30,M,computer science,"['CSC250', 'CSC230']",2
13,15085,3,CSC 339-01,Concepts of Progrming Languags,3,LEC,Lixin Fu,08-JAN-2018 to 25-APR-2018,T R,1530-1645,PETT 227,none,12,28,16,M,computer science,['CSC330'],2
14,15086,3,CSC 339-02,Concepts of Progrming Languags,3,LEC,Lixin Fu,08-JAN-2018 to 25-APR-2018,T R,1230-1345,PETT 223,none,0,28,28,M,computer science,['CSC330'],2
15,15093,3,CSC 340-01,Software Engineering,3,LEC,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,T R,0930-1045,PETT 227,.WI,2,25,23,M,computer science,['CSC330'],3
16,15096,3,CSC 340-02,Software Engineering,3,LEC,Richard I. Quigley,08-JAN-2018 to 25-APR-2018,M W,1730-1845,PETT 227,.WI,11,25,14,M,computer science,['CSC330'],3
17,15101,3,CSC 350-01,Foundations of Comp Science II,3,LEC,Fereidoon Sadri,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,PETT 227,none,19,28,9,M,computer science,['CSC250'],2
18,15102,3,CSC 350-02,Foundations of Comp Science II,3,LEC,Fereidoon Sadri,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,PETT 217,none,8,28,20,M,computer science,['CSC250'],2
19,15120,3,CSC 471-01,Principles of Database Systems,3,LEC,Lixin Fu,08-JAN-2018 to 25-APR-2018,T R,1730-1845,PETT 150,none,1,35,34,M,computer science,['CSC330'],2
20,10450,1,CSC 490-01,Senior Capstone,3,LEC,Somya D. Mohanty,08-JAN-2018 to 25-APR-2018,M W,1530-1645,PETT 007,.SI.WI,7,25,18,M,computer science,['senior'],4
21,17299,1,CSC 490-02,Senior Capstone,3,LEC,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,M W,1530-1645,PETT 227,.SI.WI,4,22,18,M,computer science,['senior'],4
22,15695,"1,14,37",CSC 493-01,Honors Work in CSC,3,IND,,08-JAN-2018 to 25-APR-2018,,,,.HSS,0,1,1,M,computer science,['CSC350'],1
23,15129,"1,9",CSC 495-01,Topics: Intro to Graphics,3,LEC,Chandana Ariyawansa,08-JAN-2018 to 25-APR-2018,T R,0930-1045,PETT 223,none,12,35,23,M,computer science,['CSC350'],1
24,16543,"1,3",CSC 510-01,Big Data and Machine Learning,3,LEC,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,T R,1100-1215,SULV 355,none,-2,35,37,M,computer science,"['CSC330', 'MAT191']",1
25,16930,3,CSC 523-01,Numericl Analysis / Computing,3,LEC,Thomas L. Lewis,01-MAR-2018 to 30-APR-2018,M W F,1000-1050,PETT 007,none,6,10,4,M,computer science,"['CSC130', 'CSC350', 'MAT293']",1
26,15139,1,CSC 526-01,Bioinformatics,3,LEC,Prashanti Manda,08-JAN-2018 to 25-APR-2018,M W,1230-1345,PETT 223,none,12,35,23,M,computer science,['CSC350'],1
27,10451,3,CSC 529-01,Artificial Intelligence,3,LEC,Nancy L. Green,08-JAN-2018 to 25-APR-2018,T R,1530-1645,PETT 150,none,1,35,34,M,computer science,"['CSC330', 'CSC350']",1
28,16544,3,CSC 540-01,Human-Computer Interface Dev,3,LEC,Nancy L. Green,08-JAN-2018 to 25-APR-2018,T R,1230-1345,PETT 136,none,2,35,33,M,computer science,['CSC340'],1
29,15153,3,CSC 553-01,Theory of Computation,3,LEC,Francine Blanchet-Sadri,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,PETT 227,none,0,35,35,M,computer science,['CSC350'],2
30,15264,3,CSC 562-01,Prin of Operating Systems,3,LEL,Somya D. Mohanty,08-JAN-2018 to 25-APR-2018,M W,1100-1215,PETT 213,none,1,45,44,M,computer science,"['CSC261', 'CSC340']",2
31,15160,3,CSC 580-01,"Cryptogrphy, Security in Comp",3,LEC,Stephen R. Tate,08-JAN-2018 to 25-APR-2018,T R,1400-1515,PETT 227,none,15,35,20,M,computer science,"['CSC330', 'CSC562']",1
32,15391,99159,CSC 593-01,Directed Study in Computer Sci,1,IND,Francine Blanchet-Sadri,08-JAN-2018 to 25-APR-2018,,,,none,1,2,1,M,computer science,['CSC350'],1
33,15398,99159,CSC 593-02,Directed Study in Computer Sci,1,IND,Jing Deng,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,['CSC350'],1
34,15401,99159,CSC 593-03,Directed Study in Computer Sci,1,IND,Lixin Fu,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,['CSC350'],1
35,15404,99159,CSC 593-04,Directed Study in Computer Sci,1,IND,Nancy L. Green,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,['CSC350'],1
36,15407,99159,CSC 593-05,Directed Study in Computer Sci,1,IND,Prashanti Manda,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,['CSC350'],1
37,15410,99159,CSC 593-06,Directed Study in Computer Sci,1,IND,Somya D. Mohanty,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,['CSC350'],1
38,15414,99159,CSC 593-07,Directed Study in Computer Sci,1,IND,Fereidoon Sadri,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,['CSC350'],1
39,15418,99159,CSC 593-08,Directed Study in Computer Sci,1,IND,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,['CSC350'],1
40,15421,99159,CSC 593-09,Directed Study in Computer Sci,1,IND,Stephen R. Tate,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,['CSC350'],1
41,17447,99159,CSC 594-01,Directed Study in Computer Sci,1,IND,Somya D. Mohanty,08-JAN-2018 to 25-APR-2018,,,,none,4,5,1,M,computer science,['CSC350'],1
42,17507,99159,CSC 594-02,Directed Study in Computer Sci,1,IND,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,,,,none,1,1,0,M,computer science,['CSC350'],1
43,15166,3,CSC 653-01,Advanced Theory of Computation,3,LEC,Francine Blanchet-Sadri,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,PETT 313,none,9,25,16,M,computer science,,0
44,15170,3,CSC 671-01,Advanced Database Systems,3,LEC,Fereidoon Sadri,08-JAN-2018 to 25-APR-2018,M W,1400-1515,PETT 150,none,10,25,15,M,computer science,,0
45,17180,1,CSC 697-01,Research Problems Computer Sci,3,IND,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,,,,none,1,3,2,M,computer science,,0
46,17523,1,CSC 697-03,Research Problems Computer Sci,3,IND,Lixin Fu,08-JAN-2018 to 25-APR-2018,,,,none,1,2,1,M,computer science,,0
47,15394,1159,CSC 698-01,Project in Computer Science,3,IND,Francine Blanchet-Sadri,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,,0
48,15399,1159,CSC 698-02,Project in Computer Science,3,IND,Jing Deng,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,,0
49,15402,1159,CSC 698-03,Project in Computer Science,3,IND,Lixin Fu,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,,0
50,15405,1159,CSC 698-04,Project in Computer Science,3,IND,Nancy L. Green,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,,0
51,15408,1159,CSC 698-05,Project in Computer Science,3,IND,Prashanti Manda,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,,0
52,15412,1159,CSC 698-06,Project in Computer Science,3,IND,Somya D. Mohanty,08-JAN-2018 to 25-APR-2018,,,,none,0,2,2,M,computer science,,0
53,15416,1159,CSC 698-07,Project in Computer Science,3,IND,Fereidoon Sadri,08-JAN-2018 to 25-APR-2018,,,,none,0,2,2,M,computer science,,0
54,15419,1159,CSC 698-08,Project in Computer Science,3,IND,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,,,,none,-2,2,4,M,computer science,,0
55,15422,1159,CSC 698-09,Project in Computer Science,3,IND,Stephen R. Tate,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,,0
56,15397,159,CSC 699-01,Thesis,1,DTS,Francine Blanchet-Sadri,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,,0
57,15400,159,CSC 699-02,Thesis,1,DTS,Jing Deng,08-JAN-2018 to 25-APR-2018,,,,none,1,2,1,M,computer science,,0
58,15403,159,CSC 699-03,Thesis,1,DTS,Lixin Fu,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,,0
59,15406,159,CSC 699-04,Thesis,1,DTS,Nancy L. Green,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,,0
60,15409,159,CSC 699-05,Thesis,1,DTS,Prashanti Manda,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,,0
61,15413,159,CSC 699-06,Thesis,1,DTS,Somya D. Mohanty,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,,0
62,15417,159,CSC 699-07,Thesis,1,DTS,Fereidoon Sadri,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,,0
63,15420,159,CSC 699-08,Thesis,1,DTS,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,,,,none,1,2,1,M,computer science,,0
64,15423,159,CSC 699-09,Thesis,1,DTS,Stephen R. Tate,08-JAN-2018 to 25-APR-2018,,,,none,2,2,0,M,computer science,,0
65,14389,159,CSC 801-01,Thesis Extension,1,DTS,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,,,,none,1,1,0,M,computer science,,0
66,15929,159,CSC 803-01,Research Extension,1,DTS,Nancy L. Green,08-JAN-2018 to 25-APR-2018,,,,none,1,1,0,M,computer science,,0
67,17280,159,CSC 803-02,Research Extension,1,DTS,Shanmugathasan Suthaharan,08-JAN-2018 to 25-APR-2018,,,,none,-1,1,2,M,computer science,,0
68,17389,159,CSC 803-03,Research Extension,1,DTS,Francine Blanchet-Sadri,08-JAN-2018 to 25-APR-2018,,,,none,0,1,1,M,computer science,,0
69,17493,159,CSC 803-04,Research Extension,1,DTS,Jing Deng,08-JAN-2018 to 25-APR-2018,,,,none,0,1,1,M,computer science,,0
70,15216,,BIO 105-01,Major Concepts Biology,3,WEB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,,,,.GLS.GNS.SUS,0,115,115,M,biology,,1
