CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
15216,,BIO 105-01,Major Concepts Biology,3,WEB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,,,,.GLS.GNS.SUS,0,115,115,M
15653,"29,30,141",BIO 105-01D,Major Concepts Biology,3,WEB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,,,,.GLS.GNS.SUS,-8,0,8,D
11379,,BIO 105-02,Major Concepts Biology,3,LEC,Ann B. Somers,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,SULV 101,.GLS.GNS.SUS,56,295,239,M
11380,,BIO 105-03,Major Concepts Biology,3,LEC,Austin N. Craven,08-JAN-2018 to 25-APR-2018,T R,1700-1815,SULV 101,.GLS.GNS.SUS,45,175,130,M
15126,"29,30,105",BIO 105-81D,Major Concepts Biology,3,WEB,Malcolm D. Schug,09-DEC-2017 to 18-JAN-2018,,,,.GLS.GNS.SUS,5,80,75,D
11381,3,BIO 105L-01,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,M,0900-1150,SULV 112,.GLS.GNS.SUS,0,24,24,M
11382,3,BIO 105L-02,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,M,1200-1450,SULV 112,.GLS.GNS.SUS,0,24,24,M
11383,3,BIO 105L-03,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,M,1500-1750,SULV 112,.GLS.GNS.SUS,0,24,24,M
11384,3,BIO 105L-04,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,M,1800-2050,SULV 112,.GLS.GNS.SUS,1,24,23,M
11385,3,BIO 105L-05,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,T,0930-1220,SULV 112,.GLS.GNS.SUS,0,24,24,M
11386,3,BIO 105L-06,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,T,1230-1520,SULV 112,.GLS.GNS.SUS,1,24,23,M
11387,3,BIO 105L-07,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,T,1530-1820,SULV 112,.GLS.GNS.SUS,0,24,24,M
11388,3,BIO 105L-08,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,T,1830-2120,SULV 112,.GLS.GNS.SUS,0,24,24,M
11389,3,BIO 105L-09,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,W,0900-1150,SULV 112,.GLS.GNS.SUS,0,24,24,M
14189,3,BIO 105L-10,Major Concepts in Bio Lab,1,LAB,Heather Rushforth,08-JAN-2018 to 25-APR-2018,W,1200-1450,SULV 112,.GLS.GNS.SUS,0,24,24,M
14190,3,BIO 105L-11,Major Concepts in Bio Lab,1,LAB,Julia Loreth,08-JAN-2018 to 25-APR-2018,W,1500-1750,SULV 112,.GLS.GNS.SUS,1,24,23,M
