CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
13899,,HIS 204-01,History of Africa from 1870,3,LEC,Colleen Kriger,08-JAN-2018 to 25-APR-2018,T R,0930-1045,MHRA 1215,.ADS.GHP.GMO.GN.IGS,0,58,58,M
10016,,HIS 206-01,Tpcs:Globl Developmnts to 1500,3,LEC,Stephen Q. Ruzicka,08-JAN-2018 to 25-APR-2018,M W,1000-1050,FERG 100,.GHP.GL.GPM,1,20,19,M
10016,,,,,,Robert A. Bedingfield,,F,1000-1050,FERG 248,,,,,
13415,,HIS 206-02,Tpcs:Globl Developmnts to 1500,3,LEC,Stephen Q. Ruzicka,08-JAN-2018 to 25-APR-2018,M W,1000-1050,FERG 100,.GHP.GL.GPM,0,20,20,M
13415,,,,,,Robert A. Bedingfield,,F,1100-1150,FERG 248,,,,,
13900,,HIS 206-03,Tpcs:Globl Developmnts to 1500,3,LEC,Stephen Q. Ruzicka,08-JAN-2018 to 25-APR-2018,M W,1000-1050,FERG 100,.GHP.GL.GPM,0,20,20,M
13900,,,,,,Travis S. Byrd,,F,1000-1050,SOEB 214,,,,,
16065,,HIS 206-04,Tpcs:Globl Developmnts to 1500,3,LEC,Stephen Q. Ruzicka,08-JAN-2018 to 25-APR-2018,M W,1000-1050,FERG 100,.GHP.GL.GPM,8,20,12,M
16065,,,,,,Travis S. Byrd,,F,1100-1150,SOEB 102,,,,,
10017,,HIS 207-01,Tpcs:Islamic Civn 600-1200 CE,3,LEC,Alexander A. Eger,08-JAN-2018 to 25-APR-2018,F,1200-1250,BRYN 110,.GHP.GN.GPM.IGS,0,22,22,M
10017,,,,,,Richard S. Bock,,M W,1300-1350,BRYN 111,,,,,
14215,,HIS 207-02,Tpcs: Islamic Civn 600-1200 CE,3,LEC,Alexander A. Eger,08-JAN-2018 to 25-APR-2018,M W,1300-1350,BRYN 111,.GHP.GN.GPM.IGS,0,22,22,M
14215,,,,,,Richard S. Bock,,F,1300-1350,BRYN 110,,,,,
16096,,HIS 207-03,Tpcs: N & E Africa Middle Ages,3,LEC,Ian M. Michie,08-JAN-2018 to 25-APR-2018,T R,0800-0915,BRYN 105,.GHP.GN.GPM.IGS,12,40,28,M
17325,,HIS 207-04,Tpcs:Premdn Cultures InContact,3,WEB,Sarah E. McCartney,08-JAN-2018 to 25-APR-2018,,,,.GHP.GN.GPM.IGS,-3,32,35,M
17340,"29,30,141",HIS 207-04D,Tpcs:Premdn CulturesIn Contact,3,WEB,Sarah E. McCartney,08-JAN-2018 to 25-APR-2018,,,,.GHP.GN.GPM.IGS,-15,0,15,D
13362,,HIS 208-01,Tpcs:Revolutions in World Hist,3,LEC,Mark A. Moser,08-JAN-2018 to 25-APR-2018,T R,1230-1345,MHRA 1214,.GHP.GL.GMO.IGS,-1,58,59,M
13363,,HIS 208-02,Tpcs:Revolutions in World Hist,3,LEC,Mark A. Moser,08-JAN-2018 to 25-APR-2018,T R,1530-1645,MHRA 1215,.GHP.GL.GMO.IGS,3,50,47,M
10018,,HIS 209-01,Tpcs:Pacific in Modern World,3,WEB,Eric O. Oakley,08-JAN-2018 to 25-APR-2018,,,,.GHP.GMO.GN.IGS,1,50,49,M
10019,,HIS 211-01,The United States to 1865,3,LEC,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,M W,1100-1150,BRYN 160,.GHP.GMO.WI,0,20,20,M
10019,,,,,,Richard M. Smith,,F,1100-1150,SOEB 110,,,,,
13901,,HIS 211-02,The United States to 1865,3,LEC,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,M W,1100-1150,BRYN 160,.GHP.GMO.WI,0,20,20,M
13901,,,,,,Richard M. Smith,,F,1200-1250,SOEB 108,,,,,
13902,,HIS 211-03,The United States to 1865,3,LEC,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,M W,1100-1150,BRYN 160,.GHP.GMO.WI,0,20,20,M
13902,,,,,,Ashley N. Loper,,F,1100-1150,SOEB 212,,,,,
13903,,HIS 211-04,The United States to 1865,3,LEC,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,M W,1100-1150,BRYN 160,.GHP.GMO.WI,0,20,20,M
13903,,,,,,Ashley N. Loper,,F,1200-1250,SOEB 102,,,,,
14642,,HIS 211-05,The United States to 1865,3,LEC,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,M W,1100-1150,BRYN 160,.GHP.GMO.WI,0,20,20,M
14642,,,,,,Kaitlyn V. Williams,,F,1100-1150,BRYN 106,,,,,
14643,,HIS 211-06,The United States to 1865,3,LEC,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,M W,1100-1150,BRYN 160,.GHP.GMO.WI,0,20,20,M
14643,,,,,,Kaitlyn V. Williams,,F,1200-1250,BRYN 121,,,,,
16072,,HIS 211-07,The United States to 1865,3,LEC,Arlen M. Hanson,08-JAN-2018 to 25-APR-2018,T R,0800-0915,SOEB 202,.GHP.GMO,4,40,36,M
10020,,HIS 212-01,The US Since 1865,3,LEC,Ethan A. Moore,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,MHRA 1215,.GHP.GMO,28,40,12,M
10021,,HIS 212-02,The US Since 1865,3,LEC,Kimberly M. Cheek,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,BRYN 105,.GHP.GMO,-3,40,43,M
10022,,HIS 212-03,The US Since 1865,3,LEC,Anderson R. Rouse,08-JAN-2018 to 25-APR-2018,M W,1530-1645,BRYN 132,.GHP.GMO,0,40,40,M
13904,,HIS 212-04,The US Since 1865,3,LEC,Matthew A. Larson,08-JAN-2018 to 25-APR-2018,T R,0800-0915,MHRA 1214,.GHP.GMO,20,40,20,M
16875,,HIS 213-01,Tpcs:Technology Amercn History,3,LEC,Lisa C. Tolbert,08-JAN-2018 to 25-APR-2018,T R,1530-1645,MHRA 1204,.GHP.WI,0,25,25,M
14645,,HIS 216-01,Civilizations of Asia,3,LEC,James A. Anderson,08-JAN-2018 to 25-APR-2018,T R,1400-1515,MHRA 1215,.GHP.GMO.GN.IGS,3,58,55,M
10023,,HIS 217-01,The World in the 20th Century,3,WEB,Mark A. Moser,08-JAN-2018 to 25-APR-2018,,,,.GHP.GMO.GN.IGS,0,47,47,M
17247,"29,30,141",HIS 217-01D,The World in the 20th Century,3,WEB,Mark A. Moser,08-JAN-2018 to 25-APR-2018,,,,.GHP.GMO.GN.IGS,-10,0,10,D
13094,,HIS 217-02,The World in the 20th Century,3,WEB,Hannah G. Shotwell,08-JAN-2018 to 25-APR-2018,,,,.GHP.GMO.GN.IGS,2,43,41,M
17381,"29,30,141",HIS 217-02D,The World in the 20th Century,3,WEB,Hannah G. Shotwell,08-JAN-2018 to 25-APR-2018,,,,.GHP.GMO.GN.IGS,-7,0,7,D
14646,,HIS 217-03,The World in the 20th Century,3,LEC,Christopher W. Davis,08-JAN-2018 to 25-APR-2018,T R,1700-1815,MHRA 1214,.GHP.GMO.GN.IGS,4,40,36,M
10024,,HIS 218-01,The World in the 20th Century,3,LEC,David M. Wight,08-JAN-2018 to 25-APR-2018,T R,0930-1045,SOEB 224,.GHP.GMO.GN.IGS,0,58,58,M
16095,,HIS 218-02,The World in the 20th Century,3,LEC,Matthew D. Hintz,08-JAN-2018 to 25-APR-2018,M W,1530-1645,BRYN 213,.GHP.GMO.GN.IGS,-2,40,42,M
13905,,HIS 218-03,The World in the 20th Century,3,LEC,Brian W. Suttell,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,MHRA 1214,.GHP.GMO.GN.IGS,23,40,17,M
17414,"29,30,141",HIS 218-11D,The World in the 20th Century,3,WEB,Timothy M. Reagin,28-FEB-2018 to 25-APR-2018,,,,.GHP.GMO.GN,-2,50,52,D
15766,"29,30,105",HIS 218-81D,The World in the 20th Century,3,WEB,Mark A. Moser,09-DEC-2017 to 18-JAN-2018,,,,.GHP.GMO.GN.IGS,2,50,48,D
10025,,HIS 221-01,Medieval Legacy,3,LEC,Caitlin M. Saraphis,08-JAN-2018 to 25-APR-2018,T R,0930-1045,PETT 219,.GHP.GL.GPM,0,58,58,M
13364,,HIS 222-01,Europe 1400-1789,3,LEC,Jodi E. Bilinkoff,08-JAN-2018 to 25-APR-2018,M W,1300-1350,BRYN 202,.GHP.GL.GPM,0,22,22,M
13364,,,,,,Ethan S. Roy,,F,1300-1350,BRYN 117,,,,,
14185,,HIS 222-02,Europe 1400-1789,3,LEC,Jodi E. Bilinkoff,08-JAN-2018 to 25-APR-2018,F,1200-1250,BRYN 106,.GHP.GL.GPM,1,22,21,M
14185,,,,,,Ethan S. Roy,,M W,1300-1350,BRYN 202,,,,,
10026,,HIS 223-01,"European Revolutions,1789-1989",3,LEC,Jeff W. Jones,08-JAN-2018 to 25-APR-2018,T R,1100-1215,BRYN 212,.GHP.GL.GMO.IGS,5,50,45,M
16097,,HIS 240-01,Latin America since 1810,3,LEC,Peter B. Villella,08-JAN-2018 to 25-APR-2018,T R,1100-1215,BRYN 213,.GHP.GMO.GN.IGS,4,50,46,M
10288,,HIS 302-01,Race and Segregation,3,LEC,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,M W,1400-1515,BRYN 202,.ADS.GMO,0,36,36,M
16098,,HIS 320-01,"Hist of Mexico,Central America",3,LEC,Peter B. Villella,08-JAN-2018 to 25-APR-2018,T R,1400-1515,PETT 224,.GMO.GN.IGS,0,36,36,M
16099,,HIS 323-01,American Indians and Nature,3,LEC,Warren G. O'Brien,08-JAN-2018 to 25-APR-2018,T R,1400-1515,MHRA 1214,.ENV.GHP.GN,1,43,42,M
16100,,HIS 329-01,US Women's History Since 1865,3,LEC,Kelsey E. Walker,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,MHRA 2207,.WGS,11,36,25,M
16102,,HIS 338-01,"Civl War, Reconstrctn, Reunion",3,LEC,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,T R,1100-1215,SOEB 219,.SI,1,25,24,M
13365,,HIS 340-01,US Since World War II,3,LEC,Timothy M. Reagin,08-JAN-2018 to 25-APR-2018,M W,1700-1815,MHRA 1214,,7,36,29,M
16115,,HIS 341-01,Pirates of the Caribbean,3,LEC,Linda M. Rupert,08-JAN-2018 to 25-APR-2018,T R,1100-1215,SOEB 222,,1,40,39,M
10289,,HIS 347-01,History of North Carolina,3,LEC,Christine R. Flood,08-JAN-2018 to 25-APR-2018,W,1830-2120,MHRA 1210,.SI,4,25,21,M
10290,,HIS 347-02,History of North Carolina,3,WEB,Virginia L. Summey,08-JAN-2018 to 25-APR-2018,,,,,0,36,36,M
16116,,HIS 351-01,"History of Greece,2000BC-31BC",3,LEC,Stephen Q. Ruzicka,08-JAN-2018 to 25-APR-2018,M W,1400-1515,MHRA 1215,,1,36,35,M
13908,26,HIS 356-01,Making of the African Diaspora,3,LEC,Omar H. Ali,08-JAN-2018 to 25-APR-2018,T R,0930-1045,GRAM 207,.ADS,0,10,10,M
10393,"1,3,14,374",HIS 390-01,History Internship,3,INT,Anne E. Parsons,08-JAN-2018 to 25-APR-2018,,,,,1,1,0,M
10394,3,HIS 391-01,Historical Skills and Methods,3,SEM,Thomas F. Jackson,08-JAN-2018 to 25-APR-2018,M W,1400-1515,MHRA 1204,.RI.WI,15,25,10,M
13395,3,HIS 391-02,Historical Skills and Methods,3,SEM,Richard E. Barton,08-JAN-2018 to 25-APR-2018,T R,1230-1345,MHRA 2204,.RI.WI,0,25,25,M
13910,,HIS 392-01,Holocaust History / Meaning,3,LEC,Joseph Ross,08-JAN-2018 to 25-APR-2018,T R,1830-1945,MHRA 2211,.GL.IGS,0,36,36,M
12349,"1,159",HIS 402-01,Individual Study,1,IND,Jeff W. Jones,08-JAN-2018 to 25-APR-2018,,,,,-1,1,2,M
17346,"1,159",HIS 402-02,Individual Study,1,IND,Colleen Kriger,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
10960,"3,8",HIS 430-01,Historcl Methds-Soc Stud Tchrs,3,LEC,Lisa C. Tolbert,08-JAN-2018 to 25-APR-2018,M W,1400-1515,BRYN 121,.WI,10,30,20,M
14743,"1,8,14,37,159",HIS 491-08,Honor Work: American History,3,IND,Lisa C. Tolbert,08-JAN-2018 to 25-APR-2018,,,,.HSS,1,1,0,M
17283,"1,8,14,37,159",HIS 492-02,Honors Work: European History,3,IND,Jill C. Bender,08-JAN-2018 to 25-APR-2018,,,,.HSS,0,1,1,M
14731,"1,8,14,37,159",HIS 492-03,Honors Work: European History,3,IND,Lisa C. Tolbert,08-JAN-2018 to 25-APR-2018,,,,.HSS,1,1,0,M
