
CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
16782,,ENG 101-01,College Writing I,3,LEC,Lauren B. Shook,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,MHRA 2208,.GRD,1,22,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13973,"1,43,168",ENG 101-01N,College Writing I,3,LEC,Kathryn J. Kehoe,08-JAN-2018 to 25-APR-2018,M W,1400-1515,CURY 331,.GRD,3,18,15,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14690,168,ENG 101-02,College Writing I,3,LEC,Lauren B. Shook,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,MHRA 2208,.GRD,1,22,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15100,"1,43,168",ENG 101-02N,College Writing I,3,LEC,Kathryn J. Kehoe,08-JAN-2018 to 25-APR-2018,M W,1530-1645,CURY 331,.GRD,7,18,11,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12697,168,ENG 101-03,College Writing I,3,LEC,Timothy L. Huffman,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,BRYN 106,.GRD,0,22,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10359,168,ENG 101-04,College Writing I,3,LEC,Kathleen P. Naymon,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,COLE 319,.GRD,2,22,20,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10360,168,ENG 101-05,College Writing I,3,LEC,Bailey M. Maple,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,MHRA 2208,.GRD,0,22,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10361,168,ENG 101-06,College Writing I,3,LEC,Timothy L. Huffman,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,BRYN 121,.GRD,-1,22,23,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16785,168,ENG 101-07,College Writing I,3,LEC,Elena C. Makarion,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,BRYN 117,.GRD,0,22,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10362,168,ENG 101-08,College Writing I,3,LEC,Elena C. Makarion,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,BRYN 117,.GRD,2,22,20,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14691,168,ENG 101-09,College Writing I,3,LEC,Luciana D. Lilley,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,SOEB 110,.GRD,2,22,20,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12698,168,ENG 101-10,College Writing I,3,LEC,Forrest K. Rapier,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,MHRA 1208,.GRD,2,22,20,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10364,168,ENG 101-12,College Writing I,3,LEC,Timothy L. Huffman,08-JAN-2018 to 25-APR-2018,M W F,1300-1350,MHRA 1209,.GRD,-1,17,18,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10365,168,ENG 101-13,College Writing I,3,LEC,Cynthia D. McPeters,08-JAN-2018 to 25-APR-2018,M W F,1300-1350,MHRA 1207,.GRD,3,22,19,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10366,168,ENG 101-14,College Writing I,3,LEC,Benjamin S. Compton,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,MHRA 2206,.GRD,8,22,14,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10367,168,ENG 101-15,College Writing I,3,LEC,Elena C. Makarion,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,SOEB 110,.GRD,7,22,15,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10368,168,ENG 101-16,College Writing I,3,LEC,Meghan H. McGuire,08-JAN-2018 to 25-APR-2018,M W,1400-1515,CURY 204,.GRD,0,22,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10369,168,ENG 101-17,College Writing I,3,LEC,Cody H. Lee,08-JAN-2018 to 25-APR-2018,M W,1400-1515,GRAM 402,.GRD,1,22,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10370,168,ENG 101-18,College Writing I,3,LEC,Meghan H. McGuire,08-JAN-2018 to 25-APR-2018,M W,1530-1645,CURY 237,.GRD,5,22,17,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16789,168,ENG 101-19,College Writing I,3,LEC,Cody H. Lee,08-JAN-2018 to 25-APR-2018,M W,1530-1645,GRAM 207,.GRD,8,22,14,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10371,168,ENG 101-20,College Writing I,3,LEC,Katelyn J. Wilkinson,08-JAN-2018 to 25-APR-2018,T R,0800-0915,MHRA 1208,.GRD,1,22,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12699,168,ENG 101-21,College Writing I,3,LEC,Lilit Berberyan,08-JAN-2018 to 25-APR-2018,T R,0930-1045,CURY 237,.GRD,2,17,15,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
