
CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
10928,,FRE 101-01,Beginning French I,3,LEC,Amy L. Brabeck,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,MHRA 1211,.GCP.GL,3,25,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14172,,FRE 101-02,Beginning French I,3,WEB,Amy L. Brabeck,08-JAN-2018 to 25-APR-2018,,,,.GCP.GL,2,27,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14273,"29,30,141,352",FRE 101-02D,Beginning French I,3,WEB,Amy L. Brabeck,08-JAN-2018 to 25-APR-2018,,,,.GCP.GL,-2,3,5,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10929,,FRE 101-03,Beginning French I,3,LEC,Amy L. Brabeck,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,MHRA 1209,.GCP.GL,1,25,24,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10930,,FRE 101-04,Beginning French I,3,LEC,Amy L. Brabeck,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,MHRA 2209,.GCP.GL,6,25,19,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
11470,,FRE 101-05,Beginning French I,3,LEC,Genevieve O. Waite,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,MHRA 1206,.GCP.GL,0,25,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
11472,,FRE 101-06,Beginning French I,3,LEC,Genevieve O. Waite,08-JAN-2018 to 25-APR-2018,M W F,1300-1350,MHRA 1208,.GCP.GL,0,25,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12870,,FRE 101-07,Beginning French I,3,LEC,Joshua C. Lunsford,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,MHRA 1211,.GCP.GL,1,25,24,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15136,,FRE 101-08,Beginning French I,3,LEC,William S. Mouelle Ebongue Makolle,08-JAN-2018 to 25-APR-2018,M W F,1500-1550,SOEB 110,.GCP.GL,12,25,13,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14169,3,FRE 102-01,Beginning French II,3,LEC,Guylene M. Deasy,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,SOEB 219,.GCP.GL,3,25,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14173,3,FRE 102-02,Beginning French II,3,WEB,Guylene M. Deasy,08-JAN-2018 to 25-APR-2018,,,,.GCP.GL,1,29,28,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14274,"3,29,30,141,352",FRE 102-02D,Beginning French II,3,WEB,Guylene M. Deasy,08-JAN-2018 to 25-APR-2018,,,,.GCP.GL,-3,2,5,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10931,3,FRE 102-03,Beginning French II,3,LEC,Guylene M. Deasy,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,MHRA 1211,.GCP.GL,3,25,22,M
