
CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
10452,168,MAT 112-01,Contemporary Topics Math,3,LEC,Nathan S. Fontes,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,PETT 313,.GMT,3,50,47,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12886,"30,168",MAT 112-02,Contemporary Topics Math,3,WEB,Sandi B. Rudzinski,08-JAN-2018 to 25-APR-2018,,,,.GMT,3,112,109,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14433,"29,30,141,168",MAT 112-02D,Contemporary Topics Math,3,WEB,Sandi B. Rudzinski,08-JAN-2018 to 25-APR-2018,,,,.GMT,-10,0,10,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10453,168,MAT 112-03,Contemporary Topics Math,3,LEC,Nathan S. Fontes,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,PETT 219,.GMT,1,50,49,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15920,168,MAT 112-04,Contemporary Topics Math,3,LEC,Aaron F. Rapp,08-JAN-2018 to 25-APR-2018,T R,0800-0915,PETT 213,.GMT,2,50,48,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16969,"29,30,105,168",MAT 112-81D,Contemporary Topics Math,3,WEB,Sebastian G. Pauli,09-DEC-2017 to 18-JAN-2018,,,,.GMT,47,90,43,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10454,168,MAT 115-01,College Algebra,3,LEC,Gampola Waduge Nalin Fonseka,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,PETT 213,.GMT,3,50,47,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10455,168,MAT 115-02,College Algebra,3,LEC,James E. Rudzinski,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,PETT 313,.GMT,1,50,49,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10456,168,MAT 115-03,College Algebra,3,WLL,Keri N. Spetzer,08-JAN-2018 to 25-APR-2018,M,0900-0950,GRAM 313,.GMT,0,50,50,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13012,168,MAT 115-04,College Algebra,3,WLL,Keri N. Spetzer,08-JAN-2018 to 25-APR-2018,M,1000-1050,GRAM 313,.GMT,2,50,48,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10457,"30,168",MAT 115-05,College Algebra,3,WEB,Clifford D. Smyth,08-JAN-2018 to 25-APR-2018,,,,.GMT,3,123,120,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14432,"29,30,141",MAT 115-05D,College Algebra,3,WEB,Clifford D. Smyth,08-JAN-2018 to 25-APR-2018,,,,.GMT,-2,0,2,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10458,168,MAT 115-06,College Algebra,3,LEC,Amila K. Muthunayake,08-JAN-2018 to 25-APR-2018,T R,0800-0915,PETT 313,.GMT,-1,50,51,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10459,168,MAT 115-07,College Algebra,3,LEC,Aaron F. Rapp,08-JAN-2018 to 25-APR-2018,T R,0930-1045,PETT 224,.GMT,-1,50,51,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10460,168,MAT 115-08,College Algebra,3,LEC,Keri N. Spetzer,08-JAN-2018 to 25-APR-2018,T R,1530-1645,PETT 224,.GMT,1,50,49,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10461,168,MAT 115-09,College Algebra,3,LEC,Elliott Z. Hollifield,08-JAN-2018 to 25-APR-2018,T R,1400-1515,PETT 219,.GMT,-1,50,51,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10462,168,MAT 115-10,College Algebra,3,LEC,Amila K. Muthunayake,08-JAN-2018 to 25-APR-2018,M W F,1300-1350,PETT 150,.GMT,2,50,48,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10463,168,MAT 115-11,College Algebra,3,WLL,Emily N. Johnson,08-JAN-2018 to 25-APR-2018,W,0900-0950,GRAM 313,.GMT,2,50,48,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10464,168,MAT 115-12,College Algebra,3,WLL,Emily N. Johnson,08-JAN-2018 to 25-APR-2018,W,1000-1050,GRAM 313,.GMT,3,50,47,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15232,"30,168",MAT 115-13,College Algebra,3,WEB,Gampola Waduge Nalin Fonseka,08-JAN-2018 to 25-APR-2018,,,,.GMT,10,113,103,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14425,"29,30,141",MAT 115-13D,College Algebra,3,WEB,Gampola Waduge Nalin Fonseka,08-JAN-2018 to 25-APR-2018,,,,.GMT,-12,0,12,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15851,"30,168",MAT 115-14,College Algebra,3,WEB,Emily N. Johnson,08-JAN-2018 to 25-APR-2018,,,,.GMT,4,107,103,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15859,"29,30,141",MAT 115-14D,College Algebra,3,WEB,Emily N. Johnson,08-JAN-2018 to 25-APR-2018,,,,.GMT,-18,0,18,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15511,"29,30,105",MAT 115-81D,College Algebra,3,WEB,Dan Yasaki,09-DEC-2017 to 18-JAN-2018,,,,.GMT,13,90,77,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10465,"3,168",MAT 120-01,Calculus w/ Business Applictns,3,LEC,James E. Rudzinski,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,PETT 303,.GMT,0,50,50,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10466,"3,168",MAT 120-02,Calculus w/ Business Applictns,3,LEC,Walker G. Weigel,08-JAN-2018 to 25-APR-2018,T R,0800-0915,PETT 219,.GMT,0,50,50,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13013,"3,30,168",MAT 120-03,Calculus w/ Business Applictns,3,WEB,Jan Rychtar,08-JAN-2018 to 25-APR-2018,,,,.GMT,-1,111,112,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14520,"3,29,30,141",MAT 120-03D,Calculus w/ Business Applictns,3,WEB,Jan Rychtar,08-JAN-2018 to 25-APR-2018,,,,.GMT,-24,0,24,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15852,"3,30,168",MAT 120-04,Calculus w/ Business Applictns,3,WEB,Jan Rychtar,08-JAN-2018 to 25-APR-2018,,,,.GMT,2,113,111,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15512,"3,29,30,105",MAT 120-81D,Calculus w/ Business Applictns,3,WEB,Maya Chhetri,09-DEC-2017 to 18-JAN-2018,,,,.GMT,5,90,85,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10467,168,MAT 150-01,Precalculus I,3,LEC,Qi Zhang,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,PETT 224,.GMT,0,50,50,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10468,168,MAT 150-02,Precalculus I,3,LEC,S M Niroshani S. Seneviratne,08-JAN-2018 to 25-APR-2018,T R,0800-0915,PETT 136,.GMT,0,50,50,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10469,168,MAT 150-03,Precalculus I,3,WLL,Qi Zhang,08-JAN-2018 to 25-APR-2018,T,0900-0950,GRAM 313,.GMT,7,50,43,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10470,168,MAT 150-04,Precalculus I,3,WLL,Qi Zhang,08-JAN-2018 to 25-APR-2018,T,1000-1050,GRAM 313,.GMT,2,50,48,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10471,"30,168",MAT 150-05,Precalculus I,3,WEB,Walker G. Weigel,08-JAN-2018 to 25-APR-2018,,,,.GMT,18,125,107,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15921,168,MAT 150-06,Precalculus I,3,LEC,Debbie D. White,08-JAN-2018 to 25-APR-2018,T R,1530-1645,GRAM 204,.GMT,1,50,49,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15513,"29,30,105",MAT 150-81D,Precalculus I,3,WEB,Tracey H. Howell,09-DEC-2017 to 18-JAN-2018,,,,.GMT,63,90,27,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10472,"3,168",MAT 151-01,Precalculus II,3,LEC,Walker G. Weigel,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,PETT 219,.GMT,11,50,39,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10473,"3,168",MAT 151-02,Precalculus II,3,LEC,Debbie D. White,08-JAN-2018 to 25-APR-2018,T R,0800-0915,PETT 303,.GMT,11,50,39,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10474,"3,168",MAT 151-03,Precalculus II,3,WLL,Tracey H. Howell,08-JAN-2018 to 25-APR-2018,R,0900-0950,GRAM 313,.GMT,0,50,50,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13108,"3,168",MAT 151-04,Precalculus II,3,WLL,Tracey H. Howell,08-JAN-2018 to 25-APR-2018,R,1000-1050,GRAM 313,.GMT,0,50,50,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14218,"3,168",MAT 151-05,Precalculus II,3,LEC,Walker G. Weigel,08-JAN-2018 to 25-APR-2018,T R,1100-1215,PETT 224,.GMT,1,50,49,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13457,"1,3,168",MAT 190-01,Precalculus,3,LEL,Jonathan T. Rowell,08-JAN-2018 to 25-APR-2018,M W,1400-1515,CURY 237,.GMT,17,35,18,M
,,,,,,,,F,1400-1450,PETT 224,,,,,,
,,,,,,,,,,,,,,,,
10475,"3,168",MAT 191-01,Calculus I,3,LEC,Dan Yasaki,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,PETT 313,.GMT,-1,35,36,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10476,"3,168",MAT 191-02,Calculus I,3,LEC,Brett A. Tangedal,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,PETT 223,.GMT,2,35,33,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10477,"3,168",MAT 191-03,Calculus I,3,LEC,Elliott Z. Hollifield,08-JAN-2018 to 25-APR-2018,T R,0930-1045,PETT 313,.GMT,8,35,27,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13250,"3,168",MAT 191-04,Calculus I,3,LEC,Carol E. Seaman,08-JAN-2018 to 25-APR-2018,T R,1100-1215,PETT 313,.GMT,10,35,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15850,"3,168",MAT 191-05,Calculus I,3,LEC,Carol E. Seaman,08-JAN-2018 to 25-APR-2018,T R,1400-1515,SULV 103,.GMT,5,35,30,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10478,"3,168",MAT 253-01,Discrete Mathematical Structur,3,LEC,Dan Yasaki,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,PETT 303,,12,35,23,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10479,"3,168",MAT 292-01,Calculus II,3,LEC,Igor Erovenko,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,PETT 223,,13,35,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10480,"3,168",MAT 292-02,Calculus II,3,LEC,Jerry Vaughan,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,STON 215,,17,35,18,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13109,"3,168",MAT 292-03,Calculus II,3,LEC,Talia Fernos,08-JAN-2018 to 25-APR-2018,T R,1100-1215,NMOR 329,,1,35,34,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13099,"3,168",MAT 292-04,Calculus II,3,LEC,Richard H. Fabiano,08-JAN-2018 to 25-APR-2018,T R,1530-1645,SULV 203,,-1,35,36,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10481,"3,168",MAT 293-01,Calculus III,3,LEC,Jonathan T. Rowell,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,PETT 150,,10,35,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12490,"3,168",MAT 293-02,Calculus III,3,LEC,Filip Saidak,08-JAN-2018 to 25-APR-2018,T R,1400-1515,SULV 203,,-4,35,39,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10482,"3,168",MAT 310-01,Elementary Linear Algebra,3,LEC,Igor Erovenko,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,PETT 219,,2,25,23,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15849,"3,168",MAT 310-02,Elementary Linear Algebra,3,LEC,Clifford D. Smyth,08-JAN-2018 to 25-APR-2018,T R,1530-1645,PETT 217,,0,25,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16689,"3,168",MAT 320-01,Introduction to Topology,3,LEC,Talia Fernos,08-JAN-2018 to 25-APR-2018,T R,1400-1515,NMOR 328,,16,25,9,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10483,"3,168",MAT 390-01,Ordinary Differential Equatns,3,LEC,Yi Zhang,08-JAN-2018 to 25-APR-2018,T R,1100-1215,PETT 227,,7,25,18,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10484,"3,168",MAT 394-01,Calculus IV,3,LEC,Jerry Vaughan,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,PETT 007,,7,25,18,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10485,"3,168",MAT 395-01,Intro to Mathematical Analysis,3,LEC,Brett A. Tangedal,08-JAN-2018 to 25-APR-2018,M W F,1300-1350,PETT 227,,2,25,23,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14227,"3,19,168,374",MAT 465-01,Studnt Tch/Sem:Secondary Math,12,STT,Tracey H. Howell,08-JAN-2018 to 25-APR-2018,R,1700-1900,,,3,5,2,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16577,"3,168",MAT 522-01,Intro Functional Analysis,3,LEC,Richard H. Fabiano,08-JAN-2018 to 25-APR-2018,T R,0930-1045,NMOR 331,,4,15,11,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16912,"3,9,168",MAT 523-01,Numerical Methods,3,LEC,Thomas L. Lewis,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,PETT 007,,3,10,7,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15790,"3,168",MAT 545-01,Differntl Equa Orthogonal Syst,3,LEC,Mauricio A. Rivas,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,SULV 203,,3,15,12,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15362,"3,10,168",MAT 586-01,Financial Math for Actuaries,3,LEC,Haimeng Zhang,08-JAN-2018 to 25-APR-2018,T R,1100-1215,PETT 007,,6,15,9,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13458,"3,168",MAT 596-01,Mathematical Analysis,3,LEC,Maya Chhetri,08-JAN-2018 to 25-APR-2018,T R,1230-1345,PETT 007,,7,15,8,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14228,3,MAT 602-01,Seminar in Math Software,3,SEM,Maya Chhetri,08-JAN-2018 to 25-APR-2018,M,1500-1550,PETT 217,,13,15,2,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17314,"1,8",MAT 687-01,Project in Mathematics,3,IND,Ratnasingham Shivaji,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17329,"1,8",MAT 687-02,Project in Mathematics,3,IND,Dan Yasaki,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17524,"1,8",MAT 687-03,Project in Mathematics,3,IND,Thomas L. Lewis,08-JAN-2018 to 25-APR-2018,,,,,0,2,2,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17265,159,MAT 699-01,Thesis,1,DTS,Gregory C. Bell,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17472,3,MAT 701-01,Sel Topics Computational Math,3,SEM,Sebastian G. Pauli,08-JAN-2018 to 25-APR-2018,,,,,3,5,2,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17144,3,MAT 709-01,Topics in Computational Math,3,LEC,Filip Saidak,08-JAN-2018 to 25-APR-2018,T R,1100-1215,PETT 217,,3,10,7,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16900,3,MAT 726-01,Finite Element Methods,3,LEC,Yi Zhang,08-JAN-2018 to 25-APR-2018,T R,1530-1645,SULV 103,,5,10,5,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15363,3,MAT 728-01,Linear Algebra Matrix Theory,3,LEC,Thomas L. Lewis,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,SULV 203,,3,10,7,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16742,3,MAT 746-01,Functional Analysis,3,LEC,Mauricio A. Rivas,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,PETT 303,,6,10,4,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16749,3,MAT 747-01,Computational Topology,3,LEC,Yu-Min Chung,08-JAN-2018 to 25-APR-2018,T R,1400-1515,NMOR 331,,7,10,3,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17487,,MAT 790-01,Directed Doctoral Research,1,IND,Ratnasingham Shivaji,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17488,,MAT 790-02,Directed Doctoral Research,1,IND,Ratnasingham Shivaji,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17489,,MAT 790-03,Directed Doctoral Research,1,IND,Maya Chhetri,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17510,,MAT 790-04,Directed Doctoral Research,1,IND,Xiaoli Gao,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17338,,MAT 802-01,Dissertation Extension,1,DTS,Haimeng Zhang,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17483,,MAT 802-02,Dissertation Extension,1,DTS,Clifford D. Smyth,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
*Campus,Description
C,Continual Learning/iSchool
D,Distance Learning/Off-Campus
F,Fast Forward
G,Greensboro Main
I,Consortium/Special Exams
L,Interlink
M,Main Campus
O,Online
S,Site Off-Campus
X,107 Extension Non-Fundable
Z,DCL - Custom Non-Fundable
