
CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
10519,30,PHI 111-01,Introduction to Philosophy,3,WEB,Frances Bottenberg,08-JAN-2018 to 25-APR-2018,,,,.GPR,0,59,59,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17347,"29,30,141",PHI 111-01D,Introduction to Philosophy,3,WEB,Frances Bottenberg,08-JAN-2018 to 25-APR-2018,,,,.GPR,-1,0,1,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10520,,PHI 111-02,Introduction to Philosophy,3,LEC,Frances Bottenberg,08-JAN-2018 to 25-APR-2018,T R,1100-1215,GRAM 308,.GPR,0,60,60,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
11451,,PHI 111-03,Introduction to Philosophy,3,LEC,Gary Rosenkrantz,08-JAN-2018 to 25-APR-2018,T R,1530-1645,GRAM 302,.GPR,2,65,63,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10536,30,PHI 111-04,Introduction to Philosophy,3,WEB,Janine C. Jones,08-JAN-2018 to 25-APR-2018,,,,.GPR.WI,0,25,25,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10537,30,PHI 111-05,Introduction to Philosophy,3,WEB,Janine C. Jones,08-JAN-2018 to 25-APR-2018,,,,.GPR.WI,0,24,24,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17222,"29,30,141",PHI 111-05D,Introduction to Philosophy,3,WEB,Janine C. Jones,08-JAN-2018 to 25-APR-2018,,,,.GPR.WI,-1,0,1,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10521,,PHI 115-01,Practical Reasoning,3,LEC,Frances Bottenberg,08-JAN-2018 to 25-APR-2018,T R,1230-1345,GRAM 302,.GRD,1,60,59,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10538,,PHI 115-02,Practical Reasoning,3,LEC,Adam M. Rosenfeld,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,SOEB 206,.GRD,14,50,36,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10529,30,PHI 121-01,Contemporary Moral Problems,3,WEB,Richard L. Gallimore,08-JAN-2018 to 25-APR-2018,,,,.GPR,-3,58,61,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13775,"29,30,141",PHI 121-01D,Contemporary Moral Problems,3,WEB,Richard L. Gallimore,08-JAN-2018 to 25-APR-2018,,,,.GPR,-7,0,7,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
11431,30,PHI 121-02,Contemporary Moral Problems,3,WEB,Richard L. Gallimore,08-JAN-2018 to 25-APR-2018,,,,.GPR,-1,60,61,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10541,30,PHI 121-03,Contemporary Moral Problems,3,WEB,Richard L. Gallimore,08-JAN-2018 to 25-APR-2018,,,,.GPR,2,60,58,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
11432,30,PHI 121-04,Contemporary Moral Problems,3,WEB,Michael Zimmerman,08-JAN-2018 to 25-APR-2018,,,,.GPR,4,59,55,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17382,"29,30,141",PHI 121-04D,Contemporary Moral Problems,3,WEB,Michael Zimmerman,08-JAN-2018 to 25-APR-2018,,,,.GPR,0,7,7,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12999,,PHI 121-05,Contemporary Moral Problems,3,LEC,Michael Zimmerman,08-JAN-2018 to 25-APR-2018,T R,1100-1215,PETT 150,.GPR,3,60,57,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17233,,PHI 121-06,Contemporary Moral Problems,3,LEC,Gaetano E. Milazzo,08-JAN-2018 to 25-APR-2018,T R,1700-1815,GRAM 106,.GPR,48,65,17,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17230,,PHI 121-07,Contemporary Moral Problems,3,LEC,Gaetano E. Milazzo,08-JAN-2018 to 25-APR-2018,T R,1530-1645,GRAM 106,.GPR,20,65,45,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13681,"29,30,105",PHI 121-81D,Contemporary Moral Problems,3,WEB,Gary Rosenkrantz,09-DEC-2017 to 18-JAN-2018,,,,.GPR,6,65,59,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10527,,PHI 220-01,Medical Ethics,3,LEC,Heather J. Gert,08-JAN-2018 to 25-APR-2018,T R,0930-1045,GRAM 204,.GPR,3,60,57,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10528,,PHI 220-02,Medical Ethics,3,LEC,Heather J. Gert,08-JAN-2018 to 25-APR-2018,T R,1100-1215,GRAM 204,.GPR,4,60,56,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14315,,PHI 222-02,Ethics in the Computer Age,3,LEC,Joseph W. Cole,08-JAN-2018 to 25-APR-2018,T R,0930-1045,SOEB 206,.GPR,-1,40,41,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14314,,PHI 222-03,Ethics in the Computer Age,3,LEC,Joseph W. Cole,08-JAN-2018 to 25-APR-2018,T R,1100-1215,SOEB 206,.GPR,0,40,40,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10533,,PHI 252-01,History Modern Philosophy,3,LEC,Adam M. Rosenfeld,08-JAN-2018 to 25-APR-2018,T R,1530-1645,FERG 325,.GHP.GL.GMO,6,50,44,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10534,30,PHI 252-02,History Modern Philosophy,3,WEB,Adam M. Rosenfeld,08-JAN-2018 to 25-APR-2018,,,,.GHP.GL.GMO,0,33,33,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12442,"26,30,141",PHI 252-02D,History Modern Philosophy,3,WEB,Adam M. Rosenfeld,08-JAN-2018 to 25-APR-2018,,,,.GHP.GL.GMO,-15,0,15,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13439,30,PHI 301-01,Phil of Art and Aesthetics,3,WEB,Janine C. Jones,08-JAN-2018 to 25-APR-2018,,,,.WI,0,24,24,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17246,"29,30,141",PHI 301-01D,Tpcs:Phil of Art and Aesthetic,3,WEB,Janine C. Jones,08-JAN-2018 to 25-APR-2018,,,,.WI,-2,0,2,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16195,3,PHI 319-01,"Knowledge, Truth, and Belief",3,LEC,Richard L. Gallimore,08-JAN-2018 to 25-APR-2018,T R,1400-1515,CURY 303,,17,28,11,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17261,"3,29,30,141",PHI 319-01D,"Knowledge, Truth, and Belief",3,WEB,Richard L. Gallimore,08-JAN-2018 to 25-APR-2018,,,,,-10,0,10,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16804,,PHI 321-01,Ethical Theory,3,LEC,Michael Zimmerman,08-JAN-2018 to 25-APR-2018,T R,0930-1045,NMOR 328,.WI,13,30,17,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14067,,PHI 331-01,Soc and Political Philosophy,3,LEC,Michael B. Matteson,08-JAN-2018 to 25-APR-2018,T,1530-1800,SOEB 224,.GPR,8,26,18,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14447,"29,30,141",PHI 331-01D,Soc and Political Philosophy,3,WEB,Michael B. Matteson,08-JAN-2018 to 25-APR-2018,,,,.GPR,-13,0,13,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14065,30,PHI 359-01,Philosophy of Religion,3,WEB,Gary Rosenkrantz,08-JAN-2018 to 25-APR-2018,,,,.GPR,2,36,34,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14468,"29,30,141",PHI 359-01D,Philosophy of Religion,3,WEB,Gary Rosenkrantz,08-JAN-2018 to 25-APR-2018,,,,.GPR,-4,0,4,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16963,"29,30",PHI 361-01D,Ethical Issues in Business,3,WEB,Wade M. Maki,08-JAN-2018 to 25-APR-2018,,,,.GN.GPR.SUS,-2,30,32,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16964,"29,30,141",PHI 361-02D,Ethical Issues in Business,3,WEB,Wade M. Maki,08-JAN-2018 to 25-APR-2018,,,,.GN.GPR.SUS,-2,30,32,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12585,30,PHI 361-03,Ethical Issues in Business,3,WEB,Michael B. Matteson,08-JAN-2018 to 25-APR-2018,,,,.GN.GPR.SUS,1,59,58,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
